Protein_Name;Fraction1_Ctrl_Rep1;Fraction1_RNase_Rep1;Fraction1_Ctrl_Rep2;Fraction1_RNase_Rep2;Fraction1_Ctrl_Rep3;Fraction1_RNase_Rep3;Fraction2_Ctrl_Rep1;Fraction2_RNase_Rep1;Fraction2_Ctrl_Rep2;Fraction2_RNase_Rep2;Fraction2_Ctrl_Rep3;Fraction2_RNase_Rep3;Fraction3_Ctrl_Rep1;Fraction3_RNase_Rep1;Fraction3_Ctrl_Rep2;Fraction3_RNase_Rep2;Fraction3_Ctrl_Rep3;Fraction3_RNase_Rep3;Fraction4_Ctrl_Rep1;Fraction4_RNase_Rep1;Fraction4_Ctrl_Rep2;Fraction4_RNase_Rep2;Fraction4_Ctrl_Rep3;Fraction4_RNase_Rep3;Fraction5_Ctrl_Rep1;Fraction5_RNase_Rep1;Fraction5_Ctrl_Rep2;Fraction5_RNase_Rep2;Fraction5_Ctrl_Rep3;Fraction5_RNase_Rep3;Fraction6_Ctrl_Rep1;Fraction6_RNase_Rep1;Fraction6_Ctrl_Rep2;Fraction6_RNase_Rep2;Fraction6_Ctrl_Rep3;Fraction6_RNase_Rep3;Fraction7_Ctrl_Rep1;Fraction7_RNase_Rep1;Fraction7_Ctrl_Rep2;Fraction7_RNase_Rep2;Fraction7_Ctrl_Rep3;Fraction7_RNase_Rep3;Fraction8_Ctrl_Rep1;Fraction8_RNase_Rep1;Fraction8_Ctrl_Rep2;Fraction8_RNase_Rep2;Fraction8_Ctrl_Rep3;Fraction8_RNase_Rep3;Fraction9_Ctrl_Rep1;Fraction9_RNase_Rep1;Fraction9_Ctrl_Rep2;Fraction9_RNase_Rep2;Fraction9_Ctrl_Rep3;Fraction9_RNase_Rep3;Fraction10_Ctrl_Rep1;Fraction10_RNase_Rep1;Fraction10_Ctrl_Rep2;Fraction10_RNase_Rep2;Fraction10_Ctrl_Rep3;Fraction10_RNase_Rep3;Fraction11_Ctrl_Rep1;Fraction11_RNase_Rep1;Fraction11_Ctrl_Rep2;Fraction11_RNase_Rep2;Fraction11_Ctrl_Rep3;Fraction11_RNase_Rep3;Fraction12_Ctrl_Rep1;Fraction12_RNase_Rep1;Fraction12_Ctrl_Rep2;Fraction12_RNase_Rep2;Fraction12_Ctrl_Rep3;Fraction12_RNase_Rep3;Fraction13_Ctrl_Rep1;Fraction13_RNase_Rep1;Fraction13_Ctrl_Rep2;Fraction13_RNase_Rep2;Fraction13_Ctrl_Rep3;Fraction13_RNase_Rep3;Fraction14_Ctrl_Rep1;Fraction14_RNase_Rep1;Fraction14_Ctrl_Rep2;Fraction14_RNase_Rep2;Fraction14_Ctrl_Rep3;Fraction14_RNase_Rep3;Fraction15_Ctrl_Rep1;Fraction15_RNase_Rep1;Fraction15_Ctrl_Rep2;Fraction15_RNase_Rep2;Fraction15_Ctrl_Rep3;Fraction15_RNase_Rep3;Fraction16_Ctrl_Rep1;Fraction16_RNase_Rep1;Fraction16_Ctrl_Rep2;Fraction16_RNase_Rep2;Fraction16_Ctrl_Rep3;Fraction16_RNase_Rep3;Fraction17_Ctrl_Rep1;Fraction17_RNase_Rep1;Fraction17_Ctrl_Rep2;Fraction17_RNase_Rep2;Fraction17_Ctrl_Rep3;Fraction17_RNase_Rep3;Fraction18_Ctrl_Rep1;Fraction18_RNase_Rep1;Fraction18_Ctrl_Rep2;Fraction18_RNase_Rep2;Fraction18_Ctrl_Rep3;Fraction18_RNase_Rep3;Fraction19_Ctrl_Rep1;Fraction19_RNase_Rep1;Fraction19_Ctrl_Rep2;Fraction19_RNase_Rep2;Fraction19_Ctrl_Rep3;Fraction19_RNase_Rep3;Fraction20_Ctrl_Rep1;Fraction20_RNase_Rep1;Fraction20_Ctrl_Rep2;Fraction20_RNase_Rep2;Fraction20_Ctrl_Rep3;Fraction20_RNase_Rep3;Fraction21_Ctrl_Rep1;Fraction21_RNase_Rep1;Fraction21_Ctrl_Rep2;Fraction21_RNase_Rep2;Fraction21_Ctrl_Rep3;Fraction21_RNase_Rep3;Fraction22_Ctrl_Rep1;Fraction22_RNase_Rep1;Fraction22_Ctrl_Rep2;Fraction22_RNase_Rep2;Fraction22_Ctrl_Rep3;Fraction22_RNase_Rep3;Fraction23_Ctrl_Rep1;Fraction23_RNase_Rep1;Fraction23_Ctrl_Rep2;Fraction23_RNase_Rep2;Fraction23_Ctrl_Rep3;Fraction23_RNase_Rep3;Fraction24_Ctrl_Rep1;Fraction24_RNase_Rep1;Fraction24_Ctrl_Rep2;Fraction24_RNase_Rep2;Fraction24_Ctrl_Rep3;Fraction24_RNase_Rep3;Fraction25_Ctrl_Rep1;Fraction25_RNase_Rep1;Fraction25_Ctrl_Rep2;Fraction25_RNase_Rep2;Fraction25_Ctrl_Rep3;Fraction25_RNase_Rep3
P2RX7_HUMAN;0;2734.26;444.638;3044.42;0;35073.8;0;6178.28;0;73537.8;0;5054.39;0;43972.3;0;77373.1;0;140840;0;17287.2;0;23394.8;0;22800.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAF15_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9636.79;31144.6;13257.2;23619.4;10662.5;43248.3;20884;3965.86;19132.1;23896.3;35015.2;26306.1;2578.29;0;1113.75;994.872;3114.2;1000.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAPD1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33177.8;3493.53;41350.3;1490.05;51479.2;2995.91;66230.8;1301.17;60964.8;3311.98;46907;1660.97;0;0;0;0;0;0;0;0;0;0;0;0;4456.76;0;5208.56;0;4490.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAPOB_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5303.12;2801.49;10797.2;4342.29;7750.66;47619;12440.6;767.515;868.076;10837;3444.27;17911.4;118903;10043.8;8648.12;80523;7338.1;106927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PDPR_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143553;8540.4;6655.64;8092.31;6989.87;7826.8;3956.4;2048.03;98061.3;73147.5;4254.83;79160;18070.3;10685.2;16359.1;7760.27;33693.7;33420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PEX3_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47346.9;31573.4;21016.8;25451;28505.2;28938.3;18921.6;13845.3;14886.8;16491.1;14462.2;1069.74;0;0;0;0;0;0;0;0;0;0;0;0;9863.25;8312.43;9956.83;11028.5;9656.16;17087.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PHF2_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70686.1;34755.3;62180.9;37581.1;58310.2;35829.2;0;0;0;0;0;0;0;0;0;0;0;0;172039;3988.47;164766;4648.59;157557;8665.56;0;0;0;0;0;0;22181.3;827.79;22910.4;596.911;22579.2;709.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PKNX1_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5817.34;3435.43;3026.96;12002.1;1463.8;8216.7;33496.3;11762.5;7355.78;20673.6;8939.3;21072.4;9284.31;2222.32;32180.7;27350.7;14370.6;29640.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PKP3_HUMAN;0;0;0;0;0;0;514.047;1755.45;519.531;8451.7;950.16;673.034;4287.19;10225.5;6889.57;8474.21;5108.67;12393.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20044.2;24222;25003.3;20201.7;28483.4;21780.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9878.38;384.023;10340.6;1126.11;10794.3;701.102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PLCB3_HUMAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819.736;405.24;619.77;1022.71;908.407;2368.59;0;0;0;0;0;0;0;0;622.346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
